YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 10 04 00 288 13.4 14.4 99.00 99.00 99.00 999  998.1   2.5 999.0 999.0 99.0 99.00
2019 01 10 05 00 280 14.3 16.7 99.00 99.00 99.00 999  997.9   2.1 999.0 999.0 99.0 99.00
2019 01 10 06 00 291 13.0 14.3 99.00 99.00 99.00 999  998.2   1.9 999.0 999.0 99.0 99.00
2019 01 10 07 00 287 11.8 13.5 99.00 99.00 99.00 999  998.5   1.8 999.0 999.0 99.0 99.00
2019 01 10 08 00 282 11.0 13.2 99.00 99.00 99.00 999  998.3   1.7 999.0 999.0 99.0 99.00
2019 01 10 09 00 282 10.9 12.3 99.00 99.00 99.00 999  998.2   1.3 999.0 999.0 99.0 99.00
2019 01 10 10 00 292 12.6 14.5 99.00 99.00 99.00 999  998.2   1.3 999.0 999.0 99.0 99.00
2019 01 10 11 00 275  9.8 11.3 99.00 99.00 99.00 999  998.5   1.1 999.0 999.0 99.0 99.00
2019 01 10 12 00 268 10.9 12.3 99.00 99.00 99.00 999  998.5   1.0 999.0 999.0 99.0 99.00
2019 01 10 13 00 295 12.3 13.2 99.00 99.00 99.00 999  999.2   1.2 999.0 999.0 99.0 99.00
2019 01 10 14 00 292 11.7 13.2 99.00 99.00 99.00 999 1000.1   1.3 999.0 999.0 99.0 99.00
